user,mentions_count,link
cheerios,2,https://twitter.com/cheerios
chewy,2,https://twitter.com/chewy
jlo,2,https://twitter.com/jlo
yo_randyjackson,2,https://twitter.com/yo_randyjackson
harryconnickjr,2,https://twitter.com/harryconnickjr
hololens,2,https://twitter.com/hololens
petlandiapost,2,https://twitter.com/petlandiapost
andersonlive,2,https://twitter.com/andersonlive
jgrohoske9,2,https://twitter.com/jgrohoske9
cw_network,2,https://twitter.com/cw_network
spiketv,2,https://twitter.com/spiketv
cinderellamovie,2,https://twitter.com/cinderellamovie
hlywdchristmas,2,https://twitter.com/hlywdchristmas
jeanene_,2,https://twitter.com/jeanene_
bbrkdwn,2,https://twitter.com/bbrkdwn
nytimes,2,https://twitter.com/nytimes
billyarnie,2,https://twitter.com/billyarnie
4maguires,2,https://twitter.com/4maguires
abramschronicle,2,https://twitter.com/abramschronicle
damnitmaurie,1,https://twitter.com/damnitmaurie
snoopy,1,https://twitter.com/snoopy
zedd,1,https://twitter.com/zedd
mtpfairfax,1,https://twitter.com/mtpfairfax
doverpubs,1,https://twitter.com/doverpubs
markaquire,1,https://twitter.com/markaquire
yo_rsa,1,https://twitter.com/yo_rsa
duparsrestauran,1,https://twitter.com/duparsrestauran
corybooker,1,https://twitter.com/corybooker
kxan_news,1,https://twitter.com/kxan_news
kerryhishon,1,https://twitter.com/kerryhishon
opurrsworth,1,https://twitter.com/opurrsworth
kittycraft,1,https://twitter.com/kittycraft
jassy033,1,https://twitter.com/jassy033
lemon_izze,1,https://twitter.com/lemon_izze
john_scarpa,1,https://twitter.com/john_scarpa
terrellowens,1,https://twitter.com/terrellowens
cantersdeli,1,https://twitter.com/cantersdeli
sfspca,1,https://twitter.com/sfspca
ministrychick77,1,https://twitter.com/ministrychick77
bodhidurant,1,https://twitter.com/bodhidurant
whiskasbr,1,https://twitter.com/whiskasbr
nerdblockjr,1,https://twitter.com/nerdblockjr
suplada,1,https://twitter.com/suplada
myfoxtampabay,1,https://twitter.com/myfoxtampabay
jennarosedove,1,https://twitter.com/jennarosedove
nsuri20_sxsw,1,https://twitter.com/nsuri20_sxsw
